-Baa	time of. Occurs in yaay-baa (sun-baa) meaning ‘summer’ and dhandarr-aa (frost-aa) meaning ‘winter’.	place of. Occurs in walaay-baa (campplace of) meaning ‘a person’s country or home place’. ♦ Gayaay-baa-ga ngiyani yanaa-waa-nha.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
soil were doing everything in their power to assist me, whose wheels would probably bring the white man’s cattle into it.’	grain 	Goolhi 	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
guliirrdhalibaa	widowed.	unmarried.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
guliirrdhalibaa	widowed.	unmarried.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
guliirrdhalibaa	widowed.	unmarried.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
guliman	coolamon.	dish. Word for any dish.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
guliman	coolamon.	dish. Word for any dish.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
guliman	coolamon.	dish. Word for any dish.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gumbadhaa	iron.	machinery.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gumbadhaa	iron.	machinery.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gumbadhaa	iron.	machinery.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gumbugan	sand.	sandhill.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gumbugan	sand.	sandhill.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gumbugan	sand.	sandhill.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunadha	boggy ground.	boggy. ♦ Gunadha-wan.gaan nhama dhaymaarr.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunagunaa 	brown. Any brownish colour.	dirty, disgusting.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunagunaa 	brown. Any brownish colour.	dirty, disgusting.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunagunaa 	brown. Any brownish colour.	dirty, disgusting.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunambaay 	wood duck (nickname). This and similar words turn up a number of times with related meanings, and the common element seems to be guna. Used of cormorants and wood ducks.	water bird. A general name for any water bird that leaves lots of guna (shit, droppings) in one spot.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunambaay 	wood duck (nickname). This and similar words turn up a number of times with related meanings, and the common element seems to be guna. Used of cormorants and wood ducks.	water bird. A general name for any water bird that leaves lots of guna (shit, droppings) in one spot.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunambaay 	wood duck (nickname). This and similar words turn up a number of times with related meanings, and the common element seems to be guna. Used of cormorants and wood ducks.	water bird. A general name for any water bird that leaves lots of guna (shit, droppings) in one spot.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunagala	sky.	heaven.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunagala	sky.	heaven.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunagala	sky.	heaven.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gundhi	house	stringybark gum tree 	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
town. From gundhi (house). One source, gundhuwundhuu	stubborn.	selfish.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
town. From gundhi (house). One source, gundhuwundhuu	stubborn.	selfish.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
town. From gundhi (house). One source, gundhuwundhuu	stubborn.	selfish.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
town. From gundhi (house). One source, gundhuwundhuu	stubborn.	sulky.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
town. From gundhi (house). One source, gundhuwundhuu	stubborn.	sulky.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
town. From gundhi (house). One source, gundhuwundhuu	stubborn.	sulky.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunldjaa	orphan (motherless child)	black-faced cuckoo-shrike	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunldjaa	orphan (motherless child)	black-faced cuckoo-shrike	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunldjaa	orphan (motherless child)	Gunnedah 	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunidjarr	mother.	aunt (mother’s sister).	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunidjarr	mother.	aunt (mother’s sister).	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunidjarr	mother.	aunt (mother’s sister).	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunidjarr	mother.	female.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunidjarr	mother.	female.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunidjarr	mother.	female.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunii	mother. Ridley said that children call out to their mother 'gunii!'. This is probably the vocative form which is used when talking to someone. It is probably an abbreviation of guniejarr. Also guni which is commonly used today.See also: ngambaa.	aunt (mother’s sister).	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunii	mother. Ridley said that children call out to their mother 'gunii!'. This is probably the vocative form which is used when talking to someone. It is probably an abbreviation of guniejarr. Also guni which is commonly used today.See also: ngambaa.	aunt (mother’s sister).	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunii	mother. Ridley said that children call out to their mother 'gunii!'. This is probably the vocative form which is used when talking to someone. It is probably an abbreviation of guniejarr. Also guni which is commonly used today.See also: ngambaa.	aunt (mother’s sister).	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunu 	lime gypsum.	Goonoo. Said to be a place west of Goodooga.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunu 	lime gypsum.	Goonoo. Said to be a place west of Goodooga.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gunu 	lime gypsum.	Goonoo. Said to be a place west of Goodooga.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
guraarr 	long.	tall.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
guraarr 	long.	tall.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
guraarr 	long.	tall.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gurru	hole. Name for any hole including graves, cooking holes and potholes and 'crab holes’, a naturally occurring hole in black soil, over 50 cm wide; also any little depression in the ground. ♦ Giirr-nha dhinawan gayla-nhi, gurru-dhi ngiyani-laa dhuwima-Ii, dha-li-gu. 	grave. ♦ Giirr ngiyani yanaa-waa-nha wuyugil-iyaay, burrulaa-nga dhayn yanaa-waa-nha gurru-gu. 	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gurru	hole. Name for any hole including graves, cooking holes and potholes and 'crab holes’, a naturally occurring hole in black soil, over 50 cm wide; also any little depression in the ground. ♦ Giirr-nha dhinawan gayla-nhi, gurru-dhi ngiyani-laa dhuwima-Ii, dha-li-gu. 	round. One source for this meaning, gurrugaawal	Yuwaalayaay/Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	cognates
gurrulay	river wattle	Guriy Station 	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
guwaa-li	talk (to), speak (to). ‘Talk’ usually occurs as gaay guwaa-li (words — talk). When 'talking to’ or ‘telling something to’ someone, the one being talked to is marked with the dative case. ♦ Gaay guwaa-la nganunda. 	tell. When ‘tell’ means ‘command’ the one commanded is in ‘done to’ form. ♦ Ngaandu nginunha guwaa-y yanaa-y-gu?	Yuwaalayaay/Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	cognates
guwaa-li	talk (to), speak (to). ‘Talk’ usually occurs as gaay guwaa-li (words — talk). When 'talking to’ or ‘telling something to’ someone, the one being talked to is marked with the dative case. ♦ Gaay guwaa-la nganunda. 	say. ♦ Gulaanbali-cju guwaa-y ‘ngaayaybaay’.	Yuwaalayaay/Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	cognates
guwaa-li	talk (to), speak (to). ‘Talk’ usually occurs as gaay guwaa-li (words — talk). When 'talking to’ or ‘telling something to’ someone, the one being talked to is marked with the dative case. ♦ Gaay guwaa-la nganunda. 	make (someone do something). Guwaa-li is also used to translate ‘make someone do something’, e.g. ‘I made him behave himself.’ ♦ Giirr ngaama ngambaa-gu guwaa-y birralii-ejuul warra-y-gu.	Yuwaalayaay/Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	cognates
guwiirra	manna. Ted Fields said this refers to the manna on gum leaves.	sweetheart. One source.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
guwiirra	manna. Ted Fields said this refers to the manna on gum leaves.	sweetheart. One source.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
guwiirra	manna. Ted Fields said this refers to the manna on gum leaves.	sweetheart. One source.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
guwiirra	manna. Ted Fields said this refers to the manna on gum leaves.	mallee willow (Pittosporum phylliraeoides). Also called butter bush, it is a small tree with inedible, very bitter, yellow fruits. One source. From guwiirr (sweet).	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
guwiirra	manna. Ted Fields said this refers to the manna on gum leaves.	mallee willow (Pittosporum phylliraeoides). Also called butter bush, it is a small tree with inedible, very bitter, yellow fruits. One source. From guwiirr (sweet).	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
guwiirra	manna. Ted Fields said this refers to the manna on gum leaves.	mallee willow (Pittosporum phylliraeoides). Also called butter bush, it is a small tree with inedible, very bitter, yellow fruits. One source. From guwiirr (sweet).	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
guyaarr	long.	tall.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
guyaarr	long.	tall.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
guyaarr	long.	tall.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
ma-y	be on top. ♦ Giirr nhama-nha ma-y-la-nha nhaadhiyaan-da.	be up. As in ‘up in a tree’.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
ma-y	be on top. ♦ Giirr nhama-nha ma-y-la-nha nhaadhiyaan-da.	be up. As in ‘up in a tree’.	Yuwaalaraay/Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	cognates
ma-y	be on top. ♦ Giirr nhama-nha ma-y-la-nha nhaadhiyaan-da.	be up. As in ‘up in a tree’.	Yuwaalaraay/Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	cognates
maa	hand	finger	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
maa	hand	finger	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
maa	hand	five	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
maa	hand	five	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
maa	hand	five	Yuwaalaraay/Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	cognates
maa	hand	totem 	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
maamii	old woman	lactating female	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
Fields said it is good to eat. maayama	stone.	money.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
Fields said it is good to eat. maayama	stone.	money.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
Fields said it is good to eat. maayama	stone.	money.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mabun	thigh.	gully, creek.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mabun	thigh.	gully, creek.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mabun	thigh.	gully, creek.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
madhamadha	rough, bumpy. Used to describe surfaces, such as roads.	knotty.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
madhamadha	rough, bumpy. Used to describe surfaces, such as roads.	knotty.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
madhamadha	rough, bumpy. Used to describe surfaces, such as roads.	knotty.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mala	fork.	bottom, bum.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mala	fork.	bottom, bum.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mala	fork.	bottom, bum.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mala	fork.	restricted word. See p 20 for more information.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mala	fork.	restricted word. See p 20 for more information.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mala	fork.	restricted word. See p 20 for more information.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
malagan	teenage girl	restricted word. See p 20 for more information.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
malagan	teenage girl	restricted word. See p 20 for more information.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
malagan	teenage girl	restricted word. See p 20 for more information.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
ma law! I	human shadow	shadow spirit 	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
ma law! I	human shadow	location 	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
malimali	clever man’s spirit	person’s spirit	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
maliyan	wedge-tailed eagle (Aquila audax)	long-necked turtle (Chelodina longicollis)	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
maliyan	wedge-tailed eagle (Aquila audax)	policeman	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mail! 	quiet.	tired.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mail! 	quiet.	tired.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mail! 	quiet.	tired.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mamaldhalibaa	alone, friendless	unique 	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
man.gaman.ga	wide.	flat. ♦ Giirruu yalagiirrma-wu, ngaarrma-nha dhaygal nguungu, man.gaman.ga burranba-y, nguuma, ganay-u.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
man.garr	bag	pouch (kangaroo)	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
man.garr	bag	pouch (kangaroo)	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
manday1	penis.	testicles.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
manday1	penis.	testicles.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
manday1	penis.	testicles.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mandaymanday 	sequentially. One thing after another.	string of stars. A string of small stars in the northern sky where the tree rat climbed up; in the story about the tree of maliyan, the wedge-tailed eagle.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mandaymanday 	sequentially. One thing after another.	string of stars. A string of small stars in the northern sky where the tree rat climbed up; in the story about the tree of maliyan, the wedge-tailed eagle.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mandaymanday 	sequentially. One thing after another.	string of stars. A string of small stars in the northern sky where the tree rat climbed up; in the story about the tree of maliyan, the wedge-tailed eagle.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mandha	bread	food, tucker	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
maniila-y	go hunting. This verb is used in two types of sentences such as: ‘I'm going hunting’ or I’m going hunting for kangaroo’, in which case the animal being hunted is marked with the purposive case.♦	hunt. ♦ Maniila-y ngaya gi-yaa-nha bawurra-gu. 	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
maniila-y	go hunting. This verb is used in two types of sentences such as: ‘I'm going hunting’ or I’m going hunting for kangaroo’, in which case the animal being hunted is marked with the purposive case.♦	find, look for. ♦ Ngindaay maniila-waa-ya guduu-gu.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mara 	hand.	finger.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mara 	hand.	finger.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mara 	hand.	finger.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
mari 	Aboriginal person. ♦ Burrulaa nhama mari. 	Aboriginal man. ♦ Nhama mari dhaay yana-y. 	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
marrabaa 	good.	well.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
marrabaa 	good.	well.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
marrabaa 	good.	well.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
marramba-li	wrap up. Also marranba-Ii. ♦ Buluuy ngaama baliyaa gi-nyi, ngiyarrma nguu birralii-ejuul ngaama marramba ybulanggiin-da.	cover up. ♦ Giirruu ngaya nhama marranba-y.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
marrawal 	porcupine, echidna (Tachyglossus aculeatus). Ridley said it was also called dhalay-dhalay (tongue); this may have been a nickname based on its long tongue.	Murrawal. Location south of Coonabarabran. One source. See also: bigibila.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
marrawal 	porcupine, echidna (Tachyglossus aculeatus). Ridley said it was also called dhalay-dhalay (tongue); this may have been a nickname based on its long tongue.	Murrawal. Location south of Coonabarabran. One source. See also: bigibila.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
